stddev_open,close_perc,history_secs,abs_slope_max,win_secs,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
150.0,0.5,0.5,0.0005,0.5,0.0667,2,28,2.5666,1.0366,16.37,62.18,30
150.0,0.5,0.5,0.0005,1.0,0.0667,2,28,2.5666,1.0366,16.37,62.18,30
150.0,0.7,0.5,0.0005,0.2,0.0667,2,28,2.5666,1.0366,16.37,62.18,30
150.0,0.7,0.5,0.0005,0.5,0.0667,2,28,2.5666,1.0366,16.37,62.18,30
150.0,0.7,0.5,0.0005,1.0,0.0667,2,28,2.5666,1.0366,16.37,62.18,30
300.0,0.3,1.0,0.0005,0.2,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.3,1.0,0.0005,0.5,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.3,1.0,0.0005,1.0,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.3,2.0,0.0005,0.2,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.3,2.0,0.0005,0.5,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.3,2.0,0.0005,1.0,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.5,1.0,0.0005,0.2,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.5,1.0,0.0005,0.5,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.5,1.0,0.0005,1.0,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.5,2.0,0.0005,0.2,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.5,2.0,0.0005,0.5,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.5,2.0,0.0005,1.0,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.7,1.0,0.0005,0.2,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.7,1.0,0.0005,0.5,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.7,1.0,0.0005,1.0,0.0667,2,28,2.6628,1.0401,23.77,62.18,30
300.0,0.7,2.0,0.0005,0.2,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.7,2.0,0.0005,0.5,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
300.0,0.7,2.0,0.0005,1.0,0.0667,2,28,2.6628,1.0741,23.77,62.18,30
100.0,0.3,1.0,0.0001,0.2,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.3,1.0,0.0001,0.5,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
