open_margin_db,close_margin_db,release_ms,hold_ms,min_window_sec,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,3.0,700.0,200.0,1.0,0.2667,8,22,0.5284,1.1331,79.24,215.83,30
15.0,5.0,200.0,100.0,3.0,0.2667,8,22,1.4862,0.4482,402.91,715.32,30
15.0,5.0,200.0,200.0,3.0,0.2667,8,22,1.4862,0.4482,402.91,715.32,30
15.0,7.0,200.0,100.0,3.0,0.2667,8,22,1.6242,0.4262,423.58,847.98,30
15.0,7.0,200.0,200.0,3.0,0.2667,8,22,1.6242,0.4262,423.58,847.98,30
8.0,5.0,700.0,100.0,1.0,0.2333,7,23,0.4151,1.5698,191.17,534.02,30
8.0,5.0,700.0,200.0,1.0,0.2333,7,23,0.4151,1.5698,191.17,534.02,30
10.0,5.0,700.0,100.0,1.0,0.2333,7,23,0.6312,1.2085,199.91,533.28,30
10.0,5.0,700.0,200.0,1.0,0.2333,7,23,0.6312,1.2085,199.91,533.28,30
8.0,3.0,400.0,100.0,2.0,0.2333,7,23,0.6829,1.3295,410.32,788.57,30
8.0,3.0,400.0,200.0,2.0,0.2333,7,23,0.6829,1.3295,410.32,788.57,30
10.0,3.0,400.0,100.0,2.0,0.2333,7,23,0.8447,0.9627,464.66,788.57,30
10.0,3.0,400.0,200.0,2.0,0.2333,7,23,0.8447,0.9627,464.66,788.57,30
8.0,5.0,400.0,100.0,2.0,0.2333,7,23,0.8473,1.15,489.66,905.6,30
8.0,5.0,400.0,200.0,2.0,0.2333,7,23,0.8473,1.15,489.66,905.6,30
15.0,5.0,700.0,100.0,1.0,0.2333,7,23,1.1121,0.8774,220.9,664.52,30
15.0,5.0,700.0,200.0,1.0,0.2333,7,23,1.1121,0.8774,220.9,664.52,30
12.0,3.0,400.0,100.0,2.0,0.2333,7,23,1.1221,0.7487,508.16,773.13,30
12.0,3.0,400.0,200.0,2.0,0.2333,7,23,1.1221,0.7487,508.16,773.13,30
15.0,7.0,700.0,100.0,2.0,0.2333,7,23,1.3652,0.8592,340.2,793.34,30
15.0,7.0,700.0,200.0,2.0,0.2333,7,23,1.3652,0.8592,340.2,793.34,30
12.0,5.0,700.0,100.0,1.0,0.2,6,24,0.8272,1.0099,79.24,699.28,30
12.0,5.0,700.0,200.0,1.0,0.2,6,24,0.8272,1.0099,79.24,699.28,30
10.0,5.0,400.0,100.0,2.0,0.2,6,24,1.005,0.897,523.33,905.6,30
10.0,5.0,400.0,200.0,2.0,0.2,6,24,1.005,0.897,523.33,905.6,30
12.0,5.0,400.0,100.0,2.0,0.2,6,24,1.2324,0.7238,566.82,864.17,30
12.0,5.0,400.0,200.0,2.0,0.2,6,24,1.2324,0.7238,566.82,864.17,30
8.0,7.0,400.0,100.0,2.0,0.1667,5,25,0.9949,1.0536,489.66,1059.18,30
8.0,7.0,400.0,200.0,2.0,0.1667,5,25,0.9949,1.0536,489.66,1059.18,30
10.0,7.0,400.0,100.0,2.0,0.1667,5,25,1.1226,0.8393,523.33,1059.18,30
10.0,7.0,400.0,200.0,2.0,0.1667,5,25,1.1226,0.8393,523.33,1059.18,30
12.0,7.0,400.0,100.0,2.0,0.1667,5,25,1.3207,0.6593,566.82,1001.08,30
12.0,7.0,400.0,200.0,2.0,0.1667,5,25,1.3207,0.6593,566.82,1001.08,30
15.0,3.0,400.0,100.0,2.0,0.1667,5,25,1.4481,0.6628,376.26,867.73,30
15.0,3.0,400.0,200.0,2.0,0.1667,5,25,1.4481,0.6628,376.26,867.73,30
10.0,7.0,700.0,100.0,1.0,0.1333,4,26,1.0222,1.0589,418.24,997.85,30
10.0,7.0,700.0,200.0,1.0,0.1333,4,26,1.0222,1.0589,418.24,997.85,30
15.0,5.0,400.0,100.0,2.0,0.1333,4,26,1.5425,0.6431,376.26,953.43,30
15.0,5.0,400.0,200.0,2.0,0.1333,4,26,1.5425,0.6431,376.26,953.43,30
15.0,7.0,700.0,100.0,1.0,0.1333,4,26,1.6189,0.7982,220.9,1238.52,30
15.0,7.0,700.0,200.0,1.0,0.1333,4,26,1.6189,0.7982,220.9,1238.52,30
15.0,7.0,400.0,100.0,2.0,0.1333,4,26,1.6471,0.5845,376.26,1068.78,30
15.0,7.0,400.0,200.0,2.0,0.1333,4,26,1.6471,0.5845,376.26,1068.78,30
8.0,3.0,400.0,100.0,1.0,0.1,3,27,0.7635,1.2869,249.22,1229.35,30
8.0,3.0,400.0,200.0,1.0,0.1,3,27,0.7635,1.2869,249.22,1229.35,30
8.0,7.0,700.0,100.0,1.0,0.1,3,27,0.8062,1.4668,408.84,1059.93,30
8.0,7.0,700.0,200.0,1.0,0.1,3,27,0.8062,1.4668,408.84,1059.93,30
10.0,3.0,400.0,100.0,1.0,0.1,3,27,1.0049,0.8602,351.96,1088.61,30
10.0,3.0,400.0,200.0,1.0,0.1,3,27,1.0049,0.8602,351.96,1088.61,30
8.0,5.0,400.0,100.0,1.0,0.1,3,27,1.1236,1.1343,478.55,1471.61,30
8.0,5.0,400.0,200.0,1.0,0.1,3,27,1.1236,1.1343,478.55,1471.61,30
12.0,7.0,700.0,100.0,1.0,0.1,3,27,1.1973,0.926,297.58,1116.29,30
12.0,7.0,700.0,200.0,1.0,0.1,3,27,1.1973,0.926,297.58,1116.29,30
10.0,5.0,400.0,100.0,1.0,0.1,3,27,1.4037,0.805,487.96,1400.87,30
10.0,5.0,400.0,200.0,1.0,0.1,3,27,1.4037,0.805,487.96,1400.87,30
15.0,3.0,400.0,100.0,1.0,0.1,3,27,1.546,0.5993,220.96,1174.95,30
15.0,3.0,400.0,200.0,1.0,0.1,3,27,1.546,0.5993,220.96,1174.95,30
12.0,7.0,200.0,100.0,2.0,0.1,3,27,1.6611,0.4577,450.82,1403.46,30
12.0,7.0,200.0,200.0,2.0,0.1,3,27,1.6611,0.4577,450.82,1403.46,30
15.0,3.0,200.0,100.0,2.0,0.1,3,27,1.7249,0.4142,376.3,1131.15,30
15.0,3.0,200.0,200.0,2.0,0.1,3,27,1.7249,0.4142,376.3,1131.15,30
15.0,5.0,200.0,100.0,2.0,0.1,3,27,1.8082,0.4116,396.96,1213.15,30
15.0,5.0,200.0,200.0,2.0,0.1,3,27,1.8082,0.4116,396.96,1213.15,30
15.0,7.0,200.0,100.0,2.0,0.1,3,27,1.8976,0.3902,396.96,1299.82,30
15.0,7.0,200.0,200.0,2.0,0.1,3,27,1.8976,0.3902,396.96,1299.82,30
15.0,5.0,400.0,100.0,1.0,0.1,3,27,1.9849,0.5776,220.96,1618.54,30
15.0,5.0,400.0,200.0,1.0,0.1,3,27,1.9849,0.5776,220.96,1618.54,30
