open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,low_hz,high_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
8.0,4.0,500.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.1899,1.2939,44.01,508.58,30
8.0,4.0,500.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.1899,1.2939,44.01,508.58,30
10.0,2.0,500.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.3321,1.2048,32.78,465.15,30
10.0,2.0,500.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.3321,1.2048,32.78,465.15,30
10.0,2.0,500.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.3661,1.2948,32.78,465.15,30
10.0,2.0,500.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.3661,1.2948,32.78,465.15,30
10.0,4.0,500.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.3834,1.2368,32.78,467.82,30
10.0,4.0,500.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.3834,1.2368,32.78,467.82,30
10.0,6.0,500.0,100.0,1.0,300.0,3400.0,0.5333,16,14,0.4329,1.1942,37.44,594.6,30
10.0,6.0,500.0,250.0,1.0,300.0,3400.0,0.5333,16,14,0.4329,1.1942,37.44,594.6,30
10.0,6.0,500.0,100.0,1.0,300.0,4000.0,0.5333,16,14,0.4336,1.1829,37.44,594.6,30
10.0,6.0,500.0,250.0,1.0,300.0,4000.0,0.5333,16,14,0.4336,1.1829,37.44,594.6,30
10.0,4.0,300.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.4465,0.7605,93.89,617.06,30
10.0,4.0,300.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.4465,0.8338,93.89,616.39,30
10.0,4.0,300.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.4465,0.7605,93.89,617.06,30
10.0,4.0,300.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.4465,0.8338,93.89,616.39,30
12.0,6.0,500.0,100.0,1.0,300.0,4000.0,0.5333,16,14,0.5267,0.9607,59.44,600.6,30
12.0,6.0,500.0,250.0,1.0,300.0,4000.0,0.5333,16,14,0.5267,0.9607,59.44,600.6,30
12.0,2.0,300.0,100.0,1.0,150.0,4000.0,0.5333,16,14,0.54,0.788,245.89,438.51,30
12.0,2.0,300.0,250.0,1.0,150.0,4000.0,0.5333,16,14,0.54,0.788,245.89,438.51,30
12.0,2.0,500.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.5526,1.1119,31.04,383.55,30
12.0,2.0,500.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.5526,1.1119,31.04,383.55,30
12.0,4.0,500.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.5699,1.0639,31.04,385.55,30
