open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
8.0,6.0,500.0,400.0,0.5,0.4667,14,16,0.3199,1.3552,23.34,443.89,30
6.0,6.0,300.0,100.0,1.0,0.4667,14,16,0.3301,0.9981,363.12,494.66,30
6.0,6.0,300.0,250.0,1.0,0.4667,14,16,0.3301,0.9981,363.12,494.66,30
10.0,2.0,800.0,100.0,1.0,0.4667,14,16,0.3491,1.5044,28.7,87.06,30
10.0,2.0,800.0,250.0,1.0,0.4667,14,16,0.3491,1.5044,28.7,87.06,30
10.0,2.0,800.0,400.0,1.0,0.4667,14,16,0.3491,1.5044,28.7,87.06,30
10.0,2.0,800.0,100.0,0.5,0.4667,14,16,0.3525,1.6105,32.08,87.06,30
10.0,2.0,800.0,250.0,0.5,0.4667,14,16,0.3525,1.6105,32.08,87.06,30
10.0,2.0,800.0,400.0,0.5,0.4667,14,16,0.3525,1.6105,32.08,87.06,30
10.0,4.0,800.0,100.0,1.0,0.4667,14,16,0.3544,1.4171,28.7,119.73,30
10.0,4.0,800.0,250.0,1.0,0.4667,14,16,0.3544,1.4171,28.7,119.73,30
10.0,4.0,800.0,400.0,1.0,0.4667,14,16,0.3544,1.4171,28.7,119.73,30
8.0,4.0,150.0,400.0,0.3,0.4667,14,16,0.3568,1.3508,246.58,261.37,30
8.0,4.0,300.0,400.0,0.3,0.4667,14,16,0.3568,1.3508,246.58,261.37,30
6.0,8.0,150.0,400.0,1.0,0.4667,14,16,0.3579,1.1466,71.12,805.84,30
6.0,8.0,300.0,400.0,1.0,0.4667,14,16,0.3579,1.1466,71.12,805.84,30
12.0,2.0,800.0,100.0,1.0,0.4667,14,16,0.3611,1.3598,40.7,87.06,30
12.0,2.0,800.0,250.0,1.0,0.4667,14,16,0.3611,1.3598,40.7,87.06,30
12.0,2.0,800.0,400.0,1.0,0.4667,14,16,0.3611,1.3598,40.7,87.06,30
10.0,2.0,800.0,100.0,0.3,0.4667,14,16,0.3618,1.7285,41.41,87.06,30
10.0,2.0,800.0,250.0,0.3,0.4667,14,16,0.3618,1.7285,41.41,87.06,30
