open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,4.0,800.0,400.0,0.5,0.4,6,9,0.5521,0.6504,33.09,358.99,15
10.0,4.0,800.0,100.0,1.0,0.4,6,9,0.5614,0.5291,43.77,358.99,15
10.0,4.0,800.0,250.0,1.0,0.4,6,9,0.5614,0.5291,43.77,358.99,15
10.0,4.0,800.0,400.0,1.0,0.4,6,9,0.5614,0.5291,43.77,358.99,15
6.0,2.0,150.0,250.0,1.0,0.4,6,9,0.6244,0.7427,984.92,963.28,15
8.0,2.0,150.0,400.0,0.3,0.4,6,9,0.6668,0.9811,18.49,991.77,15
8.0,2.0,300.0,400.0,0.3,0.4,6,9,0.6668,0.9811,18.49,991.77,15
8.0,4.0,500.0,100.0,0.3,0.4,6,9,0.6668,0.9465,18.49,969.1,15
8.0,4.0,500.0,250.0,0.3,0.4,6,9,0.6668,0.9465,18.49,969.1,15
8.0,4.0,500.0,400.0,0.3,0.4,6,9,0.6668,0.9465,18.49,969.1,15
8.0,2.0,150.0,400.0,0.5,0.4,6,9,0.6958,1.0581,16.82,991.77,15
8.0,2.0,300.0,400.0,0.5,0.4,6,9,0.6958,1.0581,16.82,991.77,15
10.0,6.0,800.0,100.0,0.5,0.4,6,9,0.7279,0.6182,33.09,534.79,15
10.0,6.0,800.0,250.0,0.5,0.4,6,9,0.7279,0.6182,33.09,534.79,15
10.0,6.0,800.0,400.0,0.5,0.4,6,9,0.7279,0.6182,33.09,534.79,15
8.0,8.0,800.0,100.0,0.5,0.4,6,9,0.7453,1.0276,21.09,808.44,15
8.0,8.0,800.0,250.0,0.5,0.4,6,9,0.7453,1.0276,21.09,808.44,15
8.0,8.0,800.0,400.0,0.5,0.4,6,9,0.7453,1.0276,21.09,808.44,15
10.0,2.0,500.0,100.0,0.5,0.4,6,9,0.7561,0.6851,33.09,965.1,15
10.0,2.0,500.0,250.0,0.5,0.4,6,9,0.7561,0.6851,33.09,965.1,15
10.0,2.0,500.0,400.0,0.5,0.4,6,9,0.7561,0.6851,33.09,965.1,15
10.0,6.0,800.0,100.0,1.0,0.4,6,9,0.7569,0.4699,43.77,554.43,15
10.0,6.0,800.0,250.0,1.0,0.4,6,9,0.7569,0.4699,43.77,554.43,15
10.0,6.0,800.0,400.0,1.0,0.4,6,9,0.7569,0.4699,43.77,554.43,15
8.0,4.0,150.0,400.0,0.3,0.4,6,9,0.7689,0.8686,327.38,775.77,15
8.0,4.0,300.0,400.0,0.3,0.4,6,9,0.7689,0.8686,327.38,775.77,15
8.0,2.0,300.0,100.0,0.5,0.4,6,9,0.7739,0.9803,329.99,1006.43,15
8.0,2.0,300.0,250.0,0.5,0.4,6,9,0.7739,0.9803,329.99,1006.43,15
6.0,2.0,150.0,100.0,0.5,0.4,6,9,0.785,0.838,463.59,1615.89,15
8.0,2.0,150.0,250.0,1.0,0.4,6,9,0.7857,0.6281,681.36,1305.95,15
10.0,4.0,500.0,100.0,0.5,0.4,6,9,0.7894,0.5077,33.09,969.1,15
10.0,4.0,500.0,250.0,0.5,0.4,6,9,0.7894,0.5077,33.09,969.1,15
10.0,4.0,500.0,400.0,0.5,0.4,6,9,0.7894,0.5077,33.09,969.1,15
8.0,6.0,500.0,100.0,0.5,0.4,6,9,0.7926,0.7669,21.51,1405.77,15
8.0,6.0,500.0,250.0,0.5,0.4,6,9,0.7926,0.7669,21.51,1405.77,15
8.0,6.0,500.0,400.0,0.5,0.4,6,9,0.7926,0.7669,21.51,1405.77,15
10.0,2.0,150.0,400.0,1.0,0.4,6,9,0.7934,0.3358,43.77,991.77,15
10.0,2.0,300.0,400.0,1.0,0.4,6,9,0.7934,0.3358,43.77,991.77,15
8.0,8.0,800.0,100.0,0.3,0.4,6,9,0.8029,0.9679,22.76,944.44,15
8.0,8.0,800.0,250.0,0.3,0.4,6,9,0.8029,0.9679,22.76,944.44,15
8.0,8.0,800.0,400.0,0.3,0.4,6,9,0.8029,0.9679,22.76,944.44,15
8.0,6.0,500.0,100.0,0.3,0.4,6,9,0.8096,0.8306,18.49,1192.44,15
8.0,6.0,500.0,250.0,0.3,0.4,6,9,0.8096,0.8306,18.49,1192.44,15
8.0,6.0,500.0,400.0,0.3,0.4,6,9,0.8096,0.8306,18.49,1192.44,15
10.0,2.0,500.0,100.0,1.0,0.4,6,9,0.8374,0.4131,43.77,965.1,15
10.0,2.0,500.0,250.0,1.0,0.4,6,9,0.8374,0.4131,43.77,965.1,15
10.0,2.0,500.0,400.0,1.0,0.4,6,9,0.8374,0.4131,43.77,965.1,15
10.0,4.0,500.0,100.0,1.0,0.4,6,9,0.8788,0.3478,43.77,1182.43,15
10.0,4.0,500.0,250.0,1.0,0.4,6,9,0.8788,0.3478,43.77,1182.43,15
10.0,4.0,500.0,400.0,1.0,0.4,6,9,0.8788,0.3478,43.77,1182.43,15
10.0,2.0,300.0,100.0,0.5,0.4,6,9,0.8929,0.3552,341.99,1007.77,15
10.0,2.0,300.0,250.0,0.5,0.4,6,9,0.8929,0.3552,341.99,1007.77,15
8.0,6.0,150.0,400.0,0.3,0.4,6,9,0.9429,0.7399,327.38,1117.77,15
8.0,6.0,300.0,400.0,0.3,0.4,6,9,0.9429,0.7399,327.38,1117.77,15
10.0,2.0,300.0,100.0,1.0,0.4,6,9,0.9542,0.2792,43.77,1559.77,15
10.0,2.0,300.0,250.0,1.0,0.4,6,9,0.9542,0.2792,43.77,1559.77,15
6.0,8.0,150.0,400.0,0.5,0.4,6,9,0.9579,0.8656,458.2,1583.08,15
6.0,8.0,300.0,400.0,0.5,0.4,6,9,0.9579,0.8656,458.2,1583.08,15
10.0,2.0,150.0,250.0,0.5,0.4,6,9,0.9635,0.3832,649.77,1111.77,15
10.0,4.0,150.0,400.0,0.5,0.4,6,9,0.9655,0.4159,341.99,869.77,15
10.0,4.0,300.0,400.0,0.5,0.4,6,9,0.9655,0.4159,341.99,869.77,15
10.0,6.0,800.0,100.0,0.3,0.4,6,9,0.9744,0.8941,304.09,544.99,15
10.0,6.0,800.0,250.0,0.3,0.4,6,9,0.9744,0.8941,304.09,544.99,15
10.0,6.0,800.0,400.0,0.3,0.4,6,9,0.9744,0.8941,304.09,544.99,15
10.0,4.0,150.0,400.0,1.0,0.4,6,9,0.9829,0.2839,352.66,1116.44,15
10.0,4.0,300.0,400.0,1.0,0.4,6,9,0.9829,0.2839,352.66,1116.44,15
10.0,6.0,500.0,100.0,0.5,0.4,6,9,0.9869,0.4225,33.09,1449.77,15
10.0,6.0,500.0,250.0,0.5,0.4,6,9,0.9869,0.4225,33.09,1449.77,15
10.0,6.0,500.0,400.0,0.5,0.4,6,9,0.9869,0.4225,33.09,1449.77,15
10.0,8.0,800.0,100.0,0.5,0.4,6,9,0.9882,0.4505,269.99,947.11,15
10.0,8.0,800.0,250.0,0.5,0.4,6,9,0.9882,0.4505,269.99,947.11,15
10.0,8.0,800.0,400.0,0.5,0.4,6,9,0.9882,0.4505,269.99,947.11,15
10.0,6.0,150.0,400.0,0.5,0.4,6,9,1.1495,0.3519,435.32,1255.11,15
10.0,6.0,300.0,400.0,0.5,0.4,6,9,1.1495,0.3519,435.32,1255.11,15
10.0,6.0,150.0,400.0,0.3,0.4,6,9,1.3019,0.5002,612.99,917.77,15
10.0,6.0,300.0,400.0,0.3,0.4,6,9,1.3019,0.5002,612.99,917.77,15
6.0,2.0,500.0,100.0,0.5,0.3333,5,10,0.4187,1.2877,11.49,1041.3,15
6.0,2.0,500.0,250.0,0.5,0.3333,5,10,0.4187,1.2877,11.49,1041.3,15
