open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,3.0,12.0,400.0,200.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
15.0,3.0,12.0,400.0,100.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
15.0,3.0,12.0,400.0,200.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
8.0,3.0,16.0,700.0,100.0,0.4333,13,17,0.2121,2.1115,70.92,170.5,30
8.0,3.0,16.0,700.0,200.0,0.4333,13,17,0.2121,2.1115,70.92,170.5,30
10.0,3.0,16.0,700.0,100.0,0.4333,13,17,0.2121,2.0708,70.92,170.5,30
10.0,3.0,16.0,700.0,200.0,0.4333,13,17,0.2121,2.0708,70.92,170.5,30
8.0,5.0,16.0,700.0,100.0,0.4333,13,17,0.2358,2.0378,70.92,193.5,30
8.0,5.0,16.0,700.0,200.0,0.4333,13,17,0.2358,2.0378,70.92,193.5,30
10.0,5.0,16.0,700.0,100.0,0.4333,13,17,0.2358,2.0325,70.92,193.5,30
10.0,5.0,16.0,700.0,200.0,0.4333,13,17,0.2358,2.0325,70.92,193.5,30
8.0,3.0,20.0,700.0,100.0,0.4333,13,17,0.293,1.9064,91.32,122.4,30
8.0,3.0,20.0,700.0,200.0,0.4333,13,17,0.293,1.9064,91.32,122.4,30
8.0,5.0,20.0,700.0,100.0,0.4333,13,17,0.3006,1.7166,91.32,129.99,30
8.0,5.0,20.0,700.0,200.0,0.4333,13,17,0.3006,1.7166,91.32,129.99,30
8.0,3.0,20.0,400.0,100.0,0.4333,13,17,0.3361,1.3914,247.2,257.82,30
8.0,3.0,20.0,400.0,200.0,0.4333,13,17,0.3361,1.3914,247.2,257.82,30
15.0,3.0,20.0,700.0,100.0,0.4333,13,17,0.3696,1.4922,29.17,122.4,30
15.0,3.0,20.0,700.0,200.0,0.4333,13,17,0.3696,1.4922,29.17,122.4,30
15.0,5.0,20.0,700.0,100.0,0.4333,13,17,0.3772,1.4218,29.17,129.99,30
15.0,5.0,20.0,700.0,200.0,0.4333,13,17,0.3772,1.4218,29.17,129.99,30
8.0,5.0,20.0,400.0,100.0,0.4333,13,17,0.3862,1.3208,245.92,320.04,30
8.0,5.0,20.0,400.0,200.0,0.4333,13,17,0.3862,1.3208,245.92,320.04,30
15.0,3.0,20.0,400.0,100.0,0.4333,13,17,0.4019,1.0033,183.94,257.82,30
15.0,3.0,20.0,400.0,200.0,0.4333,13,17,0.4019,1.0033,183.94,257.82,30
12.0,7.0,20.0,700.0,100.0,0.4333,13,17,0.4467,1.3274,141.32,240.48,30
12.0,7.0,20.0,700.0,200.0,0.4333,13,17,0.4467,1.3274,141.32,240.48,30
15.0,5.0,20.0,400.0,100.0,0.4333,13,17,0.4732,0.9659,183.28,315.96,30
15.0,5.0,20.0,400.0,200.0,0.4333,13,17,0.4732,0.9659,183.28,315.96,30
15.0,7.0,20.0,400.0,100.0,0.4333,13,17,0.5622,0.9462,183.28,419.62,30
15.0,7.0,20.0,400.0,200.0,0.4333,13,17,0.5622,0.9462,183.28,419.62,30
12.0,3.0,20.0,200.0,100.0,0.4333,13,17,0.5913,0.6859,175.94,467.09,30
12.0,3.0,20.0,200.0,200.0,0.4333,13,17,0.5913,0.6859,175.94,467.09,30
8.0,3.0,16.0,400.0,100.0,0.4,12,18,0.2892,1.7025,248.7,359.32,30
8.0,3.0,16.0,400.0,200.0,0.4,12,18,0.2892,1.7025,248.7,359.32,30
10.0,3.0,16.0,400.0,100.0,0.4,12,18,0.2892,1.6572,248.7,359.32,30
10.0,3.0,16.0,400.0,200.0,0.4,12,18,0.2892,1.6572,248.7,359.32,30
8.0,7.0,16.0,700.0,100.0,0.4,12,18,0.306,1.974,70.92,279.99,30
8.0,7.0,16.0,700.0,200.0,0.4,12,18,0.306,1.974,70.92,279.99,30
10.0,7.0,16.0,700.0,100.0,0.4,12,18,0.306,1.948,70.92,279.99,30
10.0,7.0,16.0,700.0,200.0,0.4,12,18,0.306,1.948,70.92,279.99,30
8.0,5.0,16.0,400.0,100.0,0.4,12,18,0.3257,1.6211,248.08,405.99,30
8.0,5.0,16.0,400.0,200.0,0.4,12,18,0.3257,1.6211,248.08,405.99,30
10.0,5.0,16.0,400.0,100.0,0.4,12,18,0.3257,1.5777,248.08,405.99,30
10.0,5.0,16.0,400.0,200.0,0.4,12,18,0.3257,1.5777,248.08,405.99,30
12.0,3.0,16.0,200.0,100.0,0.4,12,18,0.3396,1.1176,264.7,507.26,30
12.0,3.0,16.0,200.0,200.0,0.4,12,18,0.3396,1.1176,264.7,507.26,30
15.0,3.0,16.0,200.0,100.0,0.4,12,18,0.3396,1.1176,264.7,507.26,30
15.0,3.0,16.0,200.0,200.0,0.4,12,18,0.3396,1.1176,264.7,507.26,30
8.0,7.0,20.0,700.0,100.0,0.4,12,18,0.3445,1.6851,91.32,234.48,30
8.0,7.0,20.0,700.0,200.0,0.4,12,18,0.3445,1.6851,91.32,234.48,30
10.0,3.0,20.0,700.0,100.0,0.4,12,18,0.3518,1.7485,22.73,122.4,30
10.0,3.0,20.0,700.0,200.0,0.4,12,18,0.3518,1.7485,22.73,122.4,30
