open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,6.0,4.0,400.0,250.0,0.4333,13,17,0.6254,1.1534,349.99,244.48,30
10.0,8.0,2.0,400.0,150.0,0.4333,13,17,0.6267,1.202,349.99,240.48,30
10.0,8.0,2.0,400.0,250.0,0.4333,13,17,0.6267,1.202,349.99,240.48,30
10.0,8.0,4.0,400.0,150.0,0.4333,13,17,0.6474,1.1334,349.99,244.48,30
10.0,8.0,4.0,400.0,250.0,0.4333,13,17,0.6474,1.1334,349.99,244.48,30
12.0,4.0,4.0,250.0,150.0,0.4333,13,17,0.9563,0.6523,348.48,224.89,30
12.0,4.0,4.0,250.0,250.0,0.4333,13,17,0.9563,0.6523,348.48,224.89,30
12.0,6.0,4.0,250.0,150.0,0.4333,13,17,1.0323,0.6469,313.15,341.55,30
12.0,6.0,4.0,250.0,250.0,0.4333,13,17,1.0323,0.6469,313.15,341.55,30
15.0,4.0,1.0,600.0,150.0,0.4333,13,17,1.0687,0.9674,195.02,87.06,30
15.0,4.0,1.0,600.0,250.0,0.4333,13,17,1.0687,0.9674,195.02,87.06,30
15.0,4.0,2.0,600.0,150.0,0.4333,13,17,1.0687,0.9561,195.02,87.06,30
15.0,4.0,2.0,600.0,250.0,0.4333,13,17,1.0687,0.9561,195.02,87.06,30
15.0,4.0,4.0,600.0,150.0,0.4333,13,17,1.0687,0.9474,195.02,87.06,30
15.0,4.0,4.0,600.0,250.0,0.4333,13,17,1.0687,0.9474,195.02,87.06,30
15.0,6.0,1.0,600.0,150.0,0.4333,13,17,1.0687,0.9674,195.02,87.06,30
15.0,6.0,1.0,600.0,250.0,0.4333,13,17,1.0687,0.9674,195.02,87.06,30
15.0,6.0,2.0,600.0,150.0,0.4333,13,17,1.0687,0.9561,195.02,87.06,30
15.0,6.0,2.0,600.0,250.0,0.4333,13,17,1.0687,0.9561,195.02,87.06,30
15.0,6.0,4.0,600.0,150.0,0.4333,13,17,1.0687,0.9454,195.02,87.06,30
15.0,6.0,4.0,600.0,250.0,0.4333,13,17,1.0687,0.9454,195.02,87.06,30
15.0,8.0,1.0,600.0,150.0,0.4333,13,17,1.0687,0.9594,195.02,87.06,30
15.0,8.0,1.0,600.0,250.0,0.4333,13,17,1.0687,0.9594,195.02,87.06,30
15.0,8.0,2.0,600.0,150.0,0.4333,13,17,1.0687,0.9467,195.02,87.06,30
15.0,8.0,2.0,600.0,250.0,0.4333,13,17,1.0687,0.9467,195.02,87.06,30
12.0,8.0,4.0,250.0,150.0,0.4333,13,17,1.0776,0.6436,313.15,382.22,30
