open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,6.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.4678,1.1888,11.49,638.99,15
6.0,6.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.4678,1.1888,11.49,638.99,15
8.0,2.0,500.0,100.0,1.0,80.0,0.4667,7,8,0.5367,0.9617,21.51,1041.3,15
8.0,2.0,500.0,250.0,1.0,80.0,0.4667,7,8,0.5367,0.9617,21.51,1041.3,15
8.0,6.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.5465,1.1701,18.15,638.99,15
8.0,6.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.5465,1.1701,18.15,638.99,15
10.0,2.0,800.0,100.0,1.0,80.0,0.4667,7,8,0.5492,0.8249,42.21,293.65,15
10.0,2.0,800.0,250.0,1.0,80.0,0.4667,7,8,0.5492,0.8249,42.21,293.65,15
6.0,4.0,300.0,100.0,0.3,200.0,0.4667,7,8,0.5538,1.0335,358.53,1098.63,15
6.0,4.0,300.0,250.0,0.3,200.0,0.4667,7,8,0.5538,1.0335,358.53,1098.63,15
10.0,4.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.5596,1.1473,43.27,357.65,15
10.0,4.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.5596,1.1473,43.27,357.65,15
10.0,4.0,800.0,100.0,1.0,80.0,0.4667,7,8,0.5599,0.7809,42.21,358.99,15
10.0,4.0,800.0,250.0,1.0,80.0,0.4667,7,8,0.5599,0.7809,42.21,358.99,15
8.0,4.0,500.0,100.0,1.0,80.0,0.4667,7,8,0.5914,0.8737,66.64,1267.97,15
8.0,4.0,500.0,250.0,1.0,80.0,0.4667,7,8,0.5914,0.8737,66.64,1267.97,15
6.0,2.0,300.0,100.0,1.0,80.0,0.4667,7,8,0.5937,0.8201,62.91,1649.3,15
6.0,2.0,300.0,250.0,1.0,80.0,0.4667,7,8,0.5937,0.8201,62.91,1649.3,15
8.0,4.0,300.0,100.0,0.3,120.0,0.4667,7,8,0.6576,0.9386,372.14,1105.3,15
8.0,4.0,300.0,250.0,0.3,120.0,0.4667,7,8,0.6576,0.9386,372.14,1105.3,15
6.0,4.0,300.0,100.0,1.0,200.0,0.4667,7,8,0.6617,0.7401,117.14,1667.97,15
6.0,4.0,300.0,250.0,1.0,200.0,0.4667,7,8,0.6617,0.7401,117.14,1667.97,15
8.0,6.0,500.0,100.0,1.0,80.0,0.4667,7,8,0.7125,0.8348,66.64,1493.3,15
8.0,6.0,500.0,250.0,1.0,80.0,0.4667,7,8,0.7125,0.8348,66.64,1493.3,15
8.0,2.0,300.0,100.0,1.0,80.0,0.4667,7,8,0.7177,0.7454,68.25,1649.3,15
8.0,2.0,300.0,250.0,1.0,80.0,0.4667,7,8,0.7177,0.7454,68.25,1649.3,15
10.0,6.0,800.0,100.0,1.0,80.0,0.4667,7,8,0.749,0.7447,42.21,548.12,15
10.0,6.0,800.0,250.0,1.0,80.0,0.4667,7,8,0.749,0.7447,42.21,548.12,15
10.0,6.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.7501,1.0831,43.27,548.12,15
10.0,6.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.7501,1.0831,43.27,548.12,15
8.0,4.0,300.0,100.0,1.0,200.0,0.4667,7,8,0.7564,0.7027,125.14,1667.97,15
8.0,4.0,300.0,250.0,1.0,200.0,0.4667,7,8,0.7564,0.7027,125.14,1667.97,15
10.0,6.0,800.0,100.0,1.0,120.0,0.4667,7,8,0.762,0.771,48.87,554.43,15
10.0,6.0,800.0,250.0,1.0,120.0,0.4667,7,8,0.762,0.771,48.87,554.43,15
10.0,2.0,500.0,100.0,1.0,120.0,0.4667,7,8,0.8445,0.6509,50.89,965.1,15
10.0,2.0,500.0,250.0,1.0,120.0,0.4667,7,8,0.8445,0.6509,50.89,965.1,15
10.0,4.0,500.0,100.0,1.0,120.0,0.4667,7,8,0.8859,0.6042,50.89,1182.43,15
10.0,4.0,500.0,250.0,1.0,120.0,0.4667,7,8,0.8859,0.6042,50.89,1182.43,15
10.0,2.0,300.0,100.0,1.0,120.0,0.4667,7,8,0.9613,0.505,50.89,1559.77,15
10.0,2.0,300.0,250.0,1.0,120.0,0.4667,7,8,0.9613,0.505,50.89,1559.77,15
10.0,4.0,300.0,100.0,1.0,200.0,0.4667,7,8,1.0093,0.6103,358.45,1321.1,15
