open_margin_db,close_margin_db,release_ms,hold_ms,window_sec,percentile,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
8.0,2.0,500.0,100.0,2.0,35.0,0.4,6,9,0.4468,1.0558,23.27,1315.66,15
8.0,2.0,500.0,250.0,2.0,35.0,0.4,6,9,0.4468,1.0558,23.27,1315.66,15
6.0,4.0,800.0,100.0,1.0,35.0,0.4,6,9,0.4508,1.5398,15.27,646.22,15
6.0,4.0,800.0,250.0,1.0,35.0,0.4,6,9,0.4508,1.5398,15.27,646.22,15
8.0,4.0,800.0,100.0,1.0,35.0,0.4,6,9,0.4535,1.3172,17.93,646.22,15
8.0,4.0,800.0,250.0,1.0,35.0,0.4,6,9,0.4535,1.3172,17.93,646.22,15
6.0,6.0,800.0,100.0,4.0,35.0,0.4,6,9,0.4692,1.2875,23.36,775.19,15
6.0,6.0,800.0,250.0,4.0,35.0,0.4,6,9,0.4692,1.2875,23.36,775.19,15
8.0,4.0,500.0,100.0,4.0,35.0,0.4,6,9,0.5385,1.0715,35.36,1481.3,15
8.0,4.0,500.0,250.0,4.0,35.0,0.4,6,9,0.5385,1.0715,35.36,1481.3,15
8.0,2.0,300.0,100.0,4.0,35.0,0.4,6,9,0.5669,0.9452,689.39,1047.54,15
8.0,2.0,300.0,250.0,4.0,35.0,0.4,6,9,0.5669,0.9452,689.39,1047.54,15
10.0,4.0,500.0,100.0,4.0,35.0,0.4,6,9,0.679,0.8347,63.86,1481.3,15
10.0,4.0,500.0,250.0,4.0,35.0,0.4,6,9,0.679,0.8347,63.86,1481.3,15
6.0,4.0,300.0,100.0,4.0,35.0,0.4,6,9,0.7138,0.8948,676.77,1228.87,15
6.0,4.0,300.0,250.0,4.0,35.0,0.4,6,9,0.7138,0.8948,676.77,1228.87,15
8.0,4.0,300.0,100.0,4.0,35.0,0.4,6,9,0.7445,0.8202,690.1,1228.87,15
8.0,4.0,300.0,250.0,4.0,35.0,0.4,6,9,0.7445,0.8202,690.1,1228.87,15
10.0,6.0,500.0,100.0,4.0,35.0,0.4,6,9,0.871,0.6667,63.86,1738.63,15
10.0,6.0,500.0,250.0,4.0,35.0,0.4,6,9,0.871,0.6667,63.86,1738.63,15
10.0,2.0,300.0,100.0,4.0,35.0,0.4,6,9,0.8714,0.7217,678.09,1194.21,15
10.0,2.0,300.0,250.0,4.0,35.0,0.4,6,9,0.8714,0.7217,678.09,1194.21,15
10.0,4.0,300.0,100.0,4.0,35.0,0.4,6,9,0.9687,0.6137,674.53,1323.54,15
10.0,4.0,300.0,250.0,4.0,35.0,0.4,6,9,0.9687,0.6137,674.53,1323.54,15
8.0,2.0,800.0,100.0,1.0,15.0,0.3333,5,10,0.2709,2.2959,9.89,260.99,15
8.0,2.0,800.0,250.0,1.0,15.0,0.3333,5,10,0.2709,2.2959,9.89,260.99,15
6.0,2.0,800.0,100.0,2.0,15.0,0.3333,5,10,0.2743,2.0873,13.27,260.99,15
6.0,2.0,800.0,250.0,2.0,15.0,0.3333,5,10,0.2743,2.0873,13.27,260.99,15
10.0,2.0,800.0,100.0,1.0,15.0,0.3333,5,10,0.2755,1.9471,14.49,260.99,15
10.0,2.0,800.0,250.0,1.0,15.0,0.3333,5,10,0.2755,1.9471,14.49,260.99,15
8.0,2.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.2816,1.6946,20.6,260.99,15
8.0,2.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.2816,1.6946,20.6,260.99,15
8.0,2.0,800.0,100.0,4.0,15.0,0.3333,5,10,0.2816,1.9066,20.6,260.99,15
8.0,2.0,800.0,250.0,4.0,15.0,0.3333,5,10,0.2816,1.9066,20.6,260.99,15
12.0,2.0,800.0,100.0,1.0,15.0,0.3333,5,10,0.2833,1.8923,22.27,260.99,15
12.0,2.0,800.0,250.0,1.0,15.0,0.3333,5,10,0.2833,1.8923,22.27,260.99,15
6.0,2.0,500.0,100.0,4.0,25.0,0.3333,5,10,0.287,1.5094,22.03,589.3,15
6.0,2.0,500.0,250.0,4.0,25.0,0.3333,5,10,0.287,1.5094,22.03,589.3,15
10.0,2.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.2909,1.6239,29.93,260.99,15
10.0,2.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.2909,1.6239,29.93,260.99,15
10.0,2.0,800.0,100.0,4.0,15.0,0.3333,5,10,0.2909,1.8386,29.93,260.99,15
